date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2017-02-03,2288.54,2298.31,2287.88,2297.42,0,16.57,0.73%,2297.42,N/A,0
2017-02-02,2276.69,2283.97,2271.65,2280.85,0,1.30,0.06%,2280.85,N/A,0
2017-02-01,2285.59,2289.14,2272.44,2279.55,0,0.68,0.03%,2279.55,N/A,0
2017-01-31,2274.02,2279.09,2267.21,2278.87,0,-2.03,-0.09%,2278.87,N/A,0
2017-01-30,2286.01,2286.01,2268.04,2280.90,0,-13.79,-0.60%,2280.90,N/A,0
2017-01-27,2299.02,2299.02,2291.62,2294.69,0,-1.99,-0.09%,2294.69,N/A,0
2017-01-26,2298.63,2300.99,2294.08,2296.68,0,-1.69,-0.07%,2296.68,N/A,0
2017-01-25,2288.88,2299.55,2288.88,2298.37,0,18.30,0.80%,2298.37,N/A,0
2017-01-24,2267.88,2284.63,2266.68,2280.07,0,14.87,0.66%,2280.07,N/A,0
2017-01-23,2267.78,2271.78,2257.02,2265.20,0,-6.11,-0.27%,2265.20,N/A,0
2017-01-20,2269.96,2276.96,2265.01,2271.31,0,7.62,0.34%,2271.31,N/A,0
2017-01-19,2271.90,2274.33,2258.41,2263.69,0,-8.20,-0.36%,2263.69,N/A,0
2017-01-18,2269.14,2272.01,2263.35,2271.89,0,4.00,0.18%,2271.89,N/A,0
2017-01-17,2269.14,2272.08,2262.81,2267.89,0,-6.75,-0.30%,2267.89,N/A,0
2017-01-13,2272.74,2278.68,2271.51,2274.64,0,4.20,0.18%,2274.64,N/A,0
2017-01-12,2271.14,2271.78,2254.25,2270.44,0,-4.88,-0.21%,2270.44,N/A,0
2017-01-11,2268.60,2275.32,2260.83,2275.32,0,6.42,0.28%,2275.32,N/A,0
2017-01-10,2269.72,2279.27,2265.27,2268.90,0,0.00,0.00%,2268.90,N/A,0
2017-01-09,2273.59,2275.49,2268.90,2268.90,0,-8.08,-0.35%,2268.90,N/A,0
2017-01-06,2271.14,2282.10,2264.06,2276.98,0,7.98,0.35%,2276.98,N/A,0
2017-01-05,2268.18,2271.50,2260.45,2269.00,0,-1.75,-0.08%,2269.00,N/A,0
2017-01-04,2261.60,2272.82,2261.60,2270.75,0,12.92,0.57%,2270.75,N/A,0
2017-01-03,2251.57,2263.88,2245.13,2257.83,0,19.00,0.85%,2257.83,N/A,0
2016-12-30,2251.61,2253.58,2233.62,2238.83,0,-10.43,-0.46%,2238.83,N/A,0
2016-12-29,2249.50,2254.51,2244.56,2249.26,0,-0.66,-0.03%,2249.26,N/A,0
2016-12-28,2270.23,2271.31,2249.11,2249.92,0,-18.96,-0.84%,2249.92,N/A,0
2016-12-27,2266.23,2273.82,2266.15,2268.88,0,5.09,0.22%,2268.88,N/A,0
2016-12-23,2260.25,2263.79,2258.84,2263.79,0,2.83,0.13%,2263.79,N/A,0
2016-12-22,2262.93,2263.18,2256.08,2260.96,0,-4.22,-0.19%,2260.96,N/A,0
2016-12-21,2270.54,2271.23,2265.15,2265.18,0,-5.58,-0.25%,2265.18,N/A,0
2016-12-20,2266.50,2272.56,2266.14,2270.76,0,8.23,0.36%,2270.76,N/A,0
2016-12-19,2259.24,2267.47,2258.21,2262.53,0,4.46,0.20%,2262.53,N/A,0
2016-12-16,2266.81,2268.05,2254.24,2258.07,0,-3.96,-0.18%,2258.07,N/A,0
2016-12-15,2253.77,2272.12,2253.77,2262.03,0,8.75,0.39%,2262.03,N/A,0
2016-12-14,2268.35,2276.20,2248.44,2253.28,0,-18.44,-0.81%,2253.28,N/A,0
2016-12-13,2263.32,2277.53,2263.32,2271.72,0,14.76,0.65%,2271.72,N/A,0
